General y Grupos ECOICOP ver.2;Tipo de dato;Periodo;Total
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M04;-1,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M03;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M02;3,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M01;-4,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M12;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M11;-3,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M10;-6,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M09;-5,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M08;3,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M07;2,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M06;3,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M05;-0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M04;-7,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M03;9,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M02;0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M01;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M12;6,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M11;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M10;4,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M09;3,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M08;2,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M07;-0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M06;2,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M05;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M04;3,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M03;3,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M02;-5,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M01;4,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M12;1,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M11;1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M10;-1,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M09;0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M08;0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M07;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M06;1,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M05;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M04;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M03;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M02;-1,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M01;1,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M12;-1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M11;-0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M10;1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M09;-0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M08;-1,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M07;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M06;-0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M05;-0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M04;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M03;-0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M02;-1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M01;-0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M12;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M11;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M10;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M09;1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M08;0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M07;0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M06;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M05;1,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M04;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M03;-1,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M02;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M01;-0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M12;0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M11;0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M10;1,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M09;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M08;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M07;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M06;0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M05;0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M04;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M03;-1,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M02;-3,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M01;2,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M12;1,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M11;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M10;2,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M09;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M08;0,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M07;0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M06;2,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M05;0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M04;-0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M03;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M02;-1,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M01;-3,5
